# time	yaw_deg (started 22:51:29)
1779803489.286	   -2.58
1779803489.386	   -2.49
1779803489.486	   -2.31
1779803489.586	   -2.22
1779803489.686	   -2.05
1779803489.786	   -1.93
1779803489.886	   -1.82
1779803489.986	   -1.69
1779803490.086	   -1.61
1779803490.186	   -1.51
1779803490.286	   -1.42
1779803490.386	   -1.35
1779803490.486	   -1.27
1779803490.586	   -1.19
1779803490.686	   -1.13
1779803490.786	   -1.01
1779803490.886	   -0.96
1779803490.986	   -0.97
1779803491.086	   -0.91
1779803491.186	   -0.84
1779803491.286	   -0.76
1779803491.386	   -0.68
1779803491.486	   -0.62
1779803491.586	   -0.60
1779803491.686	   -0.55
1779803491.786	   -0.50
1779803491.886	   -0.43
1779803491.986	   -0.36
1779803492.086	   -0.34
1779803492.186	   -0.27
1779803492.286	   -0.25
1779803492.386	   -0.20
1779803492.486	   -0.14
1779803492.586	   -0.09
1779803492.686	   -0.05
1779803492.786	   -0.02
1779803492.886	   +0.01
1779803492.986	   +0.04
1779803493.086	   +0.08
1779803493.186	   +0.11
1779803493.286	   +0.14
1779803493.386	   +0.18
1779803493.486	   +0.21
1779803493.586	   +0.23
1779803493.686	   +0.28
1779803493.786	   +0.34
1779803493.886	   +0.37
1779803493.986	   +0.39
1779803494.086	   +0.46
1779803494.186	   +0.49
1779803494.286	   +0.51
1779803494.386	   +0.54
1779803494.486	   +0.58
1779803494.586	   +0.60
1779803494.686	   +0.65
1779803494.786	   +0.68
1779803494.886	   +0.71
1779803494.986	   +0.75
1779803495.086	   +0.78
1779803495.186	   +0.80
1779803495.286	   +0.84
1779803495.386	   +0.89
1779803495.486	   +0.96
1779803495.586	   +0.99
1779803495.686	   +1.03
1779803495.786	   +1.12
1779803495.886	   +1.20
1779803495.986	   +1.28
1779803496.086	   +1.34
1779803496.186	   +1.40
1779803496.286	   +1.44
1779803496.386	   +1.47
1779803496.486	   +1.55
1779803496.586	   +1.57
1779803496.686	   +1.61
1779803496.786	   +1.69
1779803496.886	   +1.71
1779803496.986	   +1.71
1779803497.086	   +1.74
1779803497.186	   +1.77
1779803497.286	   +1.79
1779803497.386	   +1.81
1779803497.486	   +1.84
1779803497.586	   +1.85
1779803497.686	   +1.87
1779803497.786	   +1.93
1779803497.886	   +1.97
1779803497.986	   +1.96
1779803498.086	   +1.96
1779803498.186	   +1.98
1779803498.286	   +1.94
1779803498.386	   +1.97
1779803498.486	   +2.02
1779803498.586	   +1.99
1779803498.686	   +2.01
1779803498.786	   +2.01
1779803498.886	   +1.97
1779803498.986	   +1.98
1779803499.086	   +1.96
1779803499.186	   +1.98
1779803499.286	   +2.00
1779803499.386	   +1.99
1779803499.486	   +1.98
1779803499.586	   +1.95
1779803499.686	   +1.92
1779803499.786	   +1.94
1779803499.886	   +1.94
1779803499.986	   +1.93
1779803500.086	   +1.91
1779803500.186	   +1.90
1779803500.286	   +1.93
1779803500.386	   +1.88
1779803500.486	   +1.85
1779803500.586	   +1.83
1779803500.686	   +1.80
1779803500.786	   +1.76
1779803500.886	   +1.73
1779803500.986	   +1.71
1779803501.086	   +1.67
1779803501.186	   +1.65
1779803501.286	   +1.63
1779803501.386	   +1.61
1779803501.486	   +1.58
1779803501.586	   +1.55
1779803501.686	   +1.53
1779803501.786	   +1.53
1779803501.886	   +1.48
1779803501.986	   +1.44
1779803502.086	   +1.43
1779803502.186	   +1.39
1779803502.286	   +1.35
1779803502.386	   +1.30
1779803502.486	   +1.28
1779803502.586	   +1.20
1779803502.686	   +1.15
1779803502.786	   +1.12
1779803502.886	   +1.04
1779803502.986	   +0.94
1779803503.086	   +0.89
1779803503.186	   +0.86
1779803503.286	   +0.86
1779803503.386	   +0.74
1779803503.486	   +0.68
1779803503.586	   +0.65
1779803503.686	   +0.60
1779803503.786	   +0.52
1779803503.886	   +0.49
1779803503.986	   +0.47
1779803504.086	   +0.43
1779803504.186	   +0.40
1779803504.286	   +0.33
1779803504.386	   +0.27
1779803504.486	   +0.27
1779803504.586	   +0.24
1779803504.686	   +0.17
1779803504.786	   +0.15
1779803504.886	   +0.11
1779803504.986	   +0.09
1779803505.086	   +0.05
1779803505.186	   +0.06
1779803505.286	   +0.02
1779803505.386	   +0.00
1779803505.486	   +0.00
1779803505.586	   +0.00
1779803505.686	   +0.00
1779803505.786	   +0.00
1779803505.886	   +0.00
1779803505.986	   +0.00
1779803506.086	   +0.00
1779803506.186	   +0.00
1779803506.286	   +0.00
1779803506.386	   +0.00
1779803506.486	   +0.00
1779803506.586	   +0.00
1779803506.686	   +0.00
1779803506.786	   +0.00
