# time	cmd_angle	cmd_speed	odom_v	odom_w	R_odom	imu_yaw_rate	R_imu	imu_ax	imu_ay
1779639157.268	   +0.0	  +0.0	 +0.0000	 -0.0000	      +inf	 -0.0025	    -0.000	 -0.0033	 +0.0075
1779639157.368	   +0.0	  +0.0	 +0.0000	 -0.0000	      +inf	 +0.0000	      +inf	 +0.0024	 +0.0042
1779639157.469	   +0.0	  +0.0	 +0.0000	 -0.0000	      +inf	 -0.0006	      +inf	 +0.0031	 +0.0007
1779639157.569	   +0.0	  +0.0	 +0.0000	 -0.0000	      +inf	 -0.0027	    -0.000	 -0.0057	 -0.0047
1779639157.669	   +0.0	  +0.0	 +0.0000	 -0.0000	      +inf	 -0.0040	    -0.000	 +0.0002	 -0.0001
1779639157.768	   +0.0	  +0.0	 +0.0000	 -0.0000	      +inf	 -0.0036	    -0.000	 -0.0060	 +0.0017
1779639157.868	   +0.0	  +0.0	 +0.0000	 -0.0000	      +inf	 -0.0015	    -0.000	 +0.0044	 +0.0078
1779639157.969	   +0.0	  +0.0	 +0.0000	 -0.0000	      +inf	 -0.0028	    -0.000	 +0.0026	 +0.0025
1779639158.069	   +0.0	  +0.0	 +0.0000	 -0.0000	      +inf	 +0.0025	    +0.000	 -0.0032	 +0.0069
1779639158.169	   +0.0	  +0.0	 +0.0000	 -0.0000	      +inf	 +0.0014	    +0.000	 -0.0068	 -0.0104
1779639158.269	   +0.0	  +0.0	 +0.0000	 -0.0000	      +inf	 -0.0008	      +inf	 +0.0081	 -0.0047
1779639158.369	   +0.0	  +0.0	 +0.0000	 -0.0000	      +inf	 -0.0010	    -0.000	 -0.0044	 +0.0025
1779639158.468	   +0.0	  +0.0	 +2.6085	-115.0104	    -0.023	 +0.0016	 +1590.479	+13.2868	 +0.1410
1779639158.569	   +0.0	  +0.0	 +3.5879	 +1.2290	    +2.919	 +0.0010	      +inf	 +7.8413	 +0.5322
1779639158.669	   +0.0	  +0.0	 +4.1661	 -0.0044	  -957.569	 -0.0026	 -1588.890	 +4.6362	 +1.0063
1779639158.768	   +0.0	  +0.0	 +4.5076	 -1.1869	    -3.798	 -0.0041	 -1090.343	 +2.4580	 +1.5503
1779639158.868	   +0.0	  +0.0	 +4.7093	 -3.3199	    -1.418	 +0.0042	 +1115.912	 +1.4484	 +1.8642
1779639158.969	   +0.0	  +0.0	 +4.8455	-30.8520	    -0.157	 +0.0045	 +1086.022	 +0.7826	 +2.2014
