# --- new session ---
# t_rel	yaw_deg
0.00	+1.96
0.05	+1.86
0.10	+1.78
0.15	+1.68
0.20	+1.65
0.25	+1.56
0.30	+1.49
0.35	+1.39
0.40	+1.33
0.45	+1.22
0.50	+1.19
0.55	+1.11
0.60	+1.09
0.65	+0.97
0.70	+0.87
0.75	+0.81
0.80	+0.75
0.85	+0.67
0.90	+0.66
0.95	+0.56
1.00	+0.51
1.05	+0.43
1.10	+0.37
1.15	+0.33
1.20	+0.28
1.25	+0.19
1.30	+0.19
1.35	+0.08
1.40	+0.04
1.45	-0.04
1.50	-0.12
1.55	-0.13
1.60	-0.20
1.65	-0.30
1.70	-0.33
1.75	-0.40
1.80	-0.48
1.85	-0.44
1.90	-0.53
1.95	-0.61
2.00	-0.59
2.05	-0.71
2.10	-0.75
2.15	-0.78
2.20	-0.84
2.25	-0.90
2.30	-0.98
2.35	-1.02
2.40	-1.01
2.45	-1.08
2.50	-1.11
2.55	-1.14
2.60	-1.17
2.65	-1.27
2.70	-1.29
2.75	-1.31
2.80	-1.37
2.85	-1.43
2.90	-1.47
2.95	-1.47
3.00	-1.50
3.05	-1.55
3.10	-1.60
3.15	-1.70
3.20	-1.68
3.25	-1.79
3.30	-1.81
3.35	-1.85
3.40	-1.90
3.45	-1.94
3.50	-1.95
3.55	-2.03
3.60	-2.01
3.65	-2.10
3.70	-2.15
3.75	-2.15
3.80	-2.18
3.85	-2.19
3.90	-2.22
3.95	-2.27
4.00	-2.28
4.05	-2.29
4.10	-2.36
4.15	-2.35
4.20	-2.37
4.25	-2.42
4.30	-2.48
4.35	-2.45
4.40	-2.52
4.45	-2.50
4.50	-2.52
4.55	-2.56
4.60	-2.56
4.65	-2.56
4.70	-2.56
4.75	-2.61
4.80	-2.59
4.85	-2.58
4.90	-2.59
4.95	-2.59
5.00	-2.57
5.05	-2.58
5.10	-2.62
5.15	-2.59
5.20	-2.60
5.25	-2.61
5.30	-2.55
5.35	-2.58
5.40	-2.58
5.45	-2.59
5.50	-2.58
5.55	-2.56
5.60	-2.54
5.65	-2.53
5.70	-2.48
5.75	-2.40
5.80	-2.40
5.85	-2.30
5.90	-2.23
5.95	-2.11
6.00	-2.06
6.05	-1.92
6.10	-1.83
6.15	-1.60
6.20	-1.42
6.25	-1.21
6.30	-1.09
6.35	-0.27
6.40	+0.37
6.45	+0.85
6.50	+1.65
6.55	+2.54
6.60	+3.18
6.65	+4.19
6.70	+5.63
6.75	+6.40
6.80	+7.58
6.85	+8.40
6.90	+9.64
6.95	+10.92
7.00	+11.80
7.05	+13.13
7.10	+14.49
7.15	+15.40
7.20	+16.80
7.25	+18.22
7.30	+19.65
7.35	+21.09
7.40	+22.06
7.45	+24.00
7.50	+24.98
7.55	+26.46
7.60	+27.45
7.65	+28.94
7.70	+30.44
7.75	+31.44
7.80	+32.94
7.85	+33.96
7.90	+35.47
7.95	+36.98
8.00	+39.02
8.05	+40.03
8.10	+41.56
8.15	+42.58
8.20	+44.11
8.25	+45.64
8.30	+46.67
8.35	+48.20
8.40	+49.74
8.45	+51.29
8.50	+52.32
8.55	+53.86
8.60	+55.39
8.65	+56.94
8.70	+57.96
8.75	+60.02
8.80	+61.04
8.85	+62.56
8.90	+63.54
8.95	+64.98
9.00	+66.37
9.05	+67.68
9.10	+68.55
9.15	+69.85
9.20	+71.17
9.25	+72.04
9.30	+73.37
9.35	+74.70
9.40	+76.04
9.45	+76.95
9.50	+78.32
9.55	+79.69
9.60	+81.08
9.65	+82.01
9.70	+83.40
9.75	+84.80
9.80	+85.74
9.85	+87.17
9.90	+88.60
9.95	+90.06
10.00	+91.03
10.05	+92.50
10.10	+93.97
10.15	+95.45
10.20	+96.43
10.25	+98.43
10.30	+99.44
10.35	+100.94
10.40	+101.94
10.45	+103.45
10.50	+104.97
10.55	+105.99
10.60	+107.49
10.65	+108.96
10.70	+110.37
10.75	+111.28
10.80	+112.56
10.85	+113.80
10.90	+114.98
10.95	+115.73
11.00	+117.14
11.05	+117.81
11.10	+118.78
11.15	+119.73
11.20	+120.34
11.25	+121.21
11.30	+121.76
11.35	+122.54
11.40	+123.27
11.45	+123.93
11.50	+124.35
11.55	+124.93
11.60	+125.46
11.65	+125.95
11.70	+126.24
11.75	+126.65
11.80	+127.02
11.85	+127.35
11.90	+127.55
11.95	+127.82
12.00	+128.07
12.05	+128.22
12.10	+128.42
12.15	+128.60
12.20	+128.70
12.25	+128.72
12.30	+128.71
12.35	+128.63
12.40	+128.48
12.45	+128.34
12.50	+127.95
12.55	+127.72
12.60	+127.31
12.65	+127.01
12.70	+126.53
12.75	+126.00
12.80	+125.63
12.85	+125.09
12.90	+124.55
12.95	+124.19
13.00	+123.67
13.05	+123.01
13.10	+122.70
13.15	+122.34
13.20	+122.14
13.25	+121.86
13.30	+121.50
13.35	+121.02
13.40	+120.65
13.45	+120.00
13.50	+119.24
13.55	+118.68
13.60	+117.76
13.65	+116.77
13.70	+115.71
13.75	+114.96
13.80	+113.41
13.85	+112.60
13.90	+111.35
13.95	+110.49
14.00	+109.19
14.05	+107.85
14.10	+106.49
14.15	+105.58
14.20	+104.18
14.25	+102.77
14.30	+101.82
14.35	+100.38
14.40	+99.41
14.45	+97.96
14.50	+96.98
14.55	+95.01
14.60	+94.02
14.65	+92.04
14.70	+91.54
14.75	+89.53
14.80	+88.52
14.85	+87.01
14.90	+86.00
14.95	+84.48
15.00	+83.45
15.05	+81.93
15.10	+80.40
15.15	+79.38
15.20	+77.86
15.25	+76.33
15.30	+75.31
15.35	+73.82
15.40	+72.39
15.45	+71.46
15.50	+70.11
15.55	+69.24
15.60	+67.51
15.65	+66.63
15.70	+65.32
15.75	+64.00
15.80	+63.13
15.85	+61.83
15.90	+60.55
15.95	+59.70
16.00	+58.42
16.05	+57.15
16.10	+56.32
16.15	+55.07
16.20	+53.83
16.25	+53.00
16.30	+51.79
16.35	+50.99
16.40	+49.78
16.45	+48.59
16.50	+47.79
16.55	+46.71
16.60	+46.18
16.65	+45.92
16.70	+45.84
16.75	+45.78
16.80	+45.76
16.85	+45.74
16.90	+45.75
16.95	+45.74
17.00	+45.74
17.05	+45.74
17.10	+45.75
17.15	+45.75
17.20	+45.75
17.25	+45.75
17.30	+45.75
17.35	+45.75
17.40	+45.75
17.45	+45.74
17.50	+45.75
17.55	+45.75
17.60	+45.75
17.65	+45.75
17.70	+45.75
17.75	+45.75
17.80	+45.75
17.85	+45.75
17.90	+45.75
17.95	+45.76
18.00	+45.75
18.05	+45.75
18.10	+45.75
18.15	+45.76
18.20	+45.76
18.25	+45.75
18.30	+45.75
18.35	+45.75
18.40	+45.75
18.45	+45.74
18.50	+45.74
18.55	+45.74
18.60	+45.74
18.65	+45.74
18.70	+45.74
18.75	+45.74
18.80	+45.74
18.85	+45.73
18.90	+45.73
18.95	+45.74
19.00	+45.74
19.05	+45.73
19.10	+45.74
19.15	+45.74
19.20	+45.73
19.25	+45.74
19.30	+45.73
19.35	+45.73
19.40	+45.74
19.45	+45.74
19.50	+45.73
19.55	+45.73
19.60	+45.73
19.65	+45.68
19.70	+45.61
19.75	+45.51
19.80	+45.43
19.85	+45.38
19.90	+45.34
19.95	+45.35
20.00	+45.44
20.05	+45.55
20.10	+45.81
20.15	+46.18
20.20	+46.65
20.25	+47.01
20.30	+47.63
20.35	+48.09
20.40	+48.83
20.45	+49.63
20.50	+50.20
20.55	+51.09
20.60	+51.70
20.65	+52.99
20.70	+53.65
20.75	+54.68
20.80	+55.38
20.85	+56.45
20.90	+57.55
20.95	+58.66
21.00	+59.42
21.05	+60.56
21.10	+61.32
21.15	+62.51
21.20	+63.73
21.25	+65.00
21.30	+65.86
21.35	+67.16
21.40	+68.05
21.45	+69.41
21.50	+70.79
21.55	+71.72
21.60	+73.14
21.65	+74.57
21.70	+75.53
21.75	+76.98
21.80	+78.44
21.85	+79.43
21.90	+80.91
21.95	+82.40
22.00	+83.89
22.05	+84.89
22.10	+86.40
22.15	+87.40
22.20	+88.92
22.25	+90.43
22.30	+91.95
22.35	+92.97
22.40	+94.49
22.45	+95.51
22.50	+97.04
22.55	+98.06
22.60	+99.60
22.65	+100.63
22.70	+102.15
22.75	+103.67
22.80	+104.66
22.85	+106.08
22.90	+107.00
22.95	+108.31
23.00	+109.13
23.05	+110.31
23.10	+111.42
23.15	+112.13
23.20	+113.15
23.25	+114.14
23.30	+114.81
23.35	+115.81
23.40	+116.79
23.45	+117.45
23.50	+118.41
23.55	+119.37
23.60	+120.01
23.65	+121.25
23.70	+121.56
23.75	+122.46
23.80	+123.35
23.85	+124.23
23.90	+124.81
23.95	+125.66
24.00	+126.21
24.05	+126.99
24.10	+127.47
24.15	+128.12
24.20	+128.51
24.25	+129.00
24.30	+129.39
24.35	+129.70
24.40	+129.87
24.45	+130.01
24.50	+130.16
24.55	+130.23
24.60	+130.29
24.65	+130.28
24.70	+130.17
24.75	+130.05
24.80	+129.77
24.85	+129.53
24.90	+129.04
24.95	+128.65
25.00	+127.98
25.05	+127.20
25.10	+126.64
25.15	+125.71
25.20	+124.71
25.25	+124.01
25.30	+122.92
25.35	+122.15
25.40	+120.98
25.45	+119.74
25.50	+118.49
25.55	+117.62
25.60	+116.31
25.65	+115.42
25.70	+114.05
25.75	+113.13
25.80	+111.75
25.85	+110.34
25.90	+108.90
25.95	+107.94
26.00	+106.49
26.05	+105.51
26.10	+104.04
26.15	+103.05
26.20	+101.57
26.25	+100.07
26.30	+99.07
26.35	+97.57
26.40	+96.56
26.45	+95.05
26.50	+93.53
26.55	+92.52
26.60	+91.51
26.65	+89.98
26.70	+88.45
26.75	+87.43
26.80	+86.41
26.85	+84.37
26.90	+82.85
26.95	+81.83
27.00	+80.80
27.05	+79.26
27.10	+77.72
27.15	+76.20
27.20	+75.21
27.25	+73.30
27.30	+72.85
27.35	+71.07
27.40	+70.64
27.45	+68.93
27.50	+68.09
27.55	+66.81
27.60	+65.96
27.65	+64.69
27.70	+63.84
27.75	+62.56
27.80	+61.71
27.85	+60.43
27.90	+59.15
27.95	+58.30
28.00	+57.02
28.05	+56.17
28.10	+54.91
28.15	+54.08
28.20	+52.90
28.25	+51.80
28.30	+50.78
28.35	+50.16
28.40	+49.29
28.45	+48.76
28.50	+48.03
28.55	+47.60
28.60	+47.03
28.65	+46.59
28.70	+46.36
28.75	+46.13
28.80	+46.04
28.85	+46.04
28.90	+46.13
28.95	+46.25
29.00	+46.65
29.05	+46.93
29.10	+47.45
29.15	+47.86
29.20	+48.58
29.25	+49.11
29.30	+49.97
29.35	+50.60
29.40	+51.59
29.45	+52.65
29.50	+53.39
29.55	+54.15
29.60	+55.32
29.65	+56.53
29.70	+57.76
29.75	+58.57
29.80	+59.38
29.85	+60.55
29.90	+61.67
29.95	+62.75
30.00	+63.44
30.05	+64.11
30.10	+65.41
30.15	+66.04
30.20	+66.36
30.25	+67.62
30.30	+68.60
30.35	+69.64
30.40	+70.36
30.45	+71.49
30.50	+72.26
30.55	+73.46
32.72	+74.70
32.75	+75.13
32.80	+76.14
32.85	+76.55
32.90	+77.30
32.95	+77.89
33.00	+78.87
33.05	+79.95
33.10	+80.72
33.15	+81.93
33.20	+82.78
33.25	+84.07
33.30	+85.40
33.35	+86.32
33.40	+87.71
33.45	+89.59
33.50	+90.07
33.55	+91.51
33.60	+92.47
33.65	+94.42
33.70	+95.38
33.75	+96.80
33.80	+97.72
33.85	+99.07
33.90	+99.94
33.95	+101.22
34.00	+102.50
34.05	+103.80
34.10	+104.66
34.15	+105.96
34.20	+106.84
34.25	+108.15
34.30	+109.04
34.35	+110.38
34.40	+111.28
34.45	+112.63
34.50	+113.99
34.55	+114.90
34.60	+116.27
34.65	+117.18
34.70	+118.55
34.75	+119.93
34.80	+120.85
34.85	+122.23
34.90	+123.63
34.95	+124.54
35.00	+126.39
35.05	+126.86
35.10	+128.70
35.15	+129.63
35.20	+131.03
35.25	+131.96
35.30	+133.09
35.35	+133.61
35.40	+134.69
35.45	+136.01
35.50	+137.00
35.55	+138.60
35.60	+139.63
35.65	+141.09
35.70	+142.58
35.75	+143.61
35.80	+145.01
35.85	+145.90
35.90	+147.31
35.95	+148.81
36.00	+149.78
36.05	+151.17
36.10	+152.15
36.15	+153.69
36.20	+155.30
36.25	+156.42
36.30	+158.13
36.35	+159.90
36.40	+161.10
36.45	+162.86
36.50	+163.90
36.55	+165.25
36.60	+166.47
36.65	+167.66
36.70	+168.37
