# time	cmd_angle	cmd_speed	odom_v(m/s)	odom_omega(rad/s)	R(m)
1779638621.508	   +0.0	  +0.0	 +0.0000	 -0.0000	      +inf
1779638621.608	   +0.0	  +0.0	 +0.0000	 -0.0000	      +inf
1779638621.708	   +0.0	  +0.0	 +0.0000	 -0.0000	      +inf
1779638621.808	   +0.0	  +0.0	 +0.0000	 -0.0000	      +inf
1779638621.908	   +0.0	  +0.0	 +0.0000	 -0.0000	      +inf
1779638622.008	   +0.0	  +0.0	 +0.0000	 -0.0000	      +inf
1779638622.108	   +0.0	  +0.0	 +0.0000	 -0.0000	      +inf
1779638622.208	   +0.0	  +0.0	 +0.0000	 -0.0000	      +inf
1779638622.308	   +0.0	  +0.0	 +0.0000	 -0.0000	      +inf
1779638622.408	   +0.0	  +0.0	 +0.0000	 -0.0000	      +inf
1779638622.508	   +0.0	  +0.0	 +0.0000	 -0.0000	      +inf
1779638622.608	   +0.0	  +0.0	 +0.0000	 -0.0000	      +inf
1779638622.708	   +0.0	  +0.0	 +0.0000	 -0.0000	      +inf
1779638622.808	   +0.0	  +0.0	 +0.0000	 -0.0000	      +inf
1779638622.908	   +0.0	  +0.0	 +0.0000	 -0.0000	      +inf
1779638623.008	   +0.0	  +0.0	 +0.0000	 -0.0000	      +inf
1779638623.108	   +0.0	  +0.0	 +0.0000	 -0.0000	      +inf
1779638623.208	   +0.0	  +0.0	 +0.0000	 -0.0000	      +inf
1779638623.308	   +0.0	  +0.0	 +0.0000	 -0.0000	      +inf
1779638623.408	   +0.0	  +0.0	 +0.0000	 -0.0000	      +inf
1779638623.508	   +0.0	  +0.0	 +0.9500	 -0.0000	      +inf
1779638623.608	   +0.0	  +0.0	 +3.0629	 -0.0000	      +inf
1779638623.708	   +0.0	  +0.0	 +3.8562	 -0.0000	      +inf
1779638623.808	   +0.0	  +0.0	 +4.2495	 -0.0000	      +inf
1779638623.909	   +0.0	  +0.0	 +4.5569	 -2.5306	    -1.801
1779638624.008	   +0.0	  +0.0	 +4.7383	 +5.0191	    +0.944
1779638624.108	   +0.0	  +0.0	 +4.8455	 +0.8340	    +5.810
1779638624.208	   +0.0	  +0.0	 +4.9401	 -1.6128	    -3.063
1779638624.308	   +0.0	  +0.0	 +4.9682	 -5.4022	    -0.920
1779638624.408	   +0.0	  +0.0	 +4.9812	+767.9686	    +0.006
1779638624.508	   +0.0	  +0.0	 +4.9889	 +6.6357	    +0.752
1779638624.608	   +0.0	  +0.0	 +4.9941	 +3.1172	    +1.602
1779638624.708	   +0.0	  +0.0	 +4.9965	 +2.1252	    +2.351
1779638624.808	   +0.0	  +0.0	 +4.9979	 +1.5690	    +3.185
1779638624.908	   +0.0	  +0.0	 +4.9989	 +1.1472	    +4.358
1779638625.008	   +0.0	  +0.0	 +4.9994	 +0.9043	    +5.528
1779638625.108	   +0.0	  +0.0	 +4.9997	 +0.6608	    +7.566
1779638625.208	   +0.0	  +0.0	 +4.9998	 +0.5325	    +9.390
1779638625.308	   +0.0	  +0.0	 +4.9999	 +0.3961	   +12.622
1779638625.408	   +0.0	  +0.0	 +4.9999	 +0.3216	   +15.547
1779638625.508	   +0.0	  +0.0	 +5.0000	 +0.2615	   +19.122
1779638625.608	   +0.0	  +0.0	 +5.0000	 +0.2042	   +24.483
1779638625.708	   +0.0	  +0.0	 +5.0000	 +0.1663	   +30.062
1779638625.808	   +0.0	  +0.0	 +5.0000	 +0.1355	   +36.897
1779638625.908	   +0.0	  +0.0	 +5.0000	 +0.1060	   +47.165
1779638626.008	   +0.0	  +0.0	 +5.0000	 +0.0864	   +57.863
1779638626.108	   +0.0	  +0.0	 +5.0000	 +0.0704	   +70.980
1779638626.208	   +0.0	  +0.0	 +5.0000	 +0.0574	   +87.065
1779638626.308	   +0.0	  +0.0	 +5.0000	 +0.0468	  +106.791
1779638626.408	   +0.0	  +0.0	 +5.0000	 +0.0382	  +130.979
1779638626.508	   +0.0	  +0.0	 +5.0000	 +0.0264	  +189.142
1779638626.608	   +0.0	  +0.0	 +5.0000	 +0.0207	  +241.647
1779638626.708	   +0.0	  +0.0	 +5.0000	 +0.0169	  +296.358
1779638626.808	   +0.0	  +0.0	 +5.0000	 +0.0138	  +363.436
1779638626.908	   +0.0	  +0.0	 +5.0000	 +0.0112	  +445.794
1779638627.008	   +0.0	  +0.0	 +5.0000	 +0.0088	  +569.464
1779638627.108	   +0.0	  +0.0	 +5.0000	 +0.0078	  +643.640
1779638627.208	   +0.0	  +0.0	 +5.0000	 +0.0058	  +856.589
1779638627.308	   +0.0	  +0.0	 +5.0000	 +0.0044	 +1140.093
1779638627.408	   +0.0	  +0.0	 +5.0000	 +0.0040	 +1237.217
1779638627.508	   +0.0	  +0.0	 +5.0000	 +0.0027	 +1860.738
1779638627.608	   +0.0	  +0.0	 +5.0000	 +0.0027	 +1860.738
1779638627.708	   +0.0	  +0.0	 +5.0000	 +0.0017	 +2916.545
1779638627.808	   +0.0	  +0.0	 +5.0000	 +0.0014	 +3577.211
1779638627.908	   +0.0	  +0.0	 +5.0000	 +0.0011	 +4564.450
1779638628.008	   +0.0	  +0.0	 +5.0000	 +0.0010	      +inf
