# time	cmd_angle	cmd_speed	odom_v	odom_w	R_odom	imu_yaw_rate	R_imu	imu_ax	imu_ay
1779639452.872	   +0.0	  +0.0	 +0.0000	 +0.0000	      +inf	 -0.0008	      +inf	 +0.0075	 +0.0095
1779639452.972	   +0.0	  +0.0	 +0.0000	 +0.0000	      +inf	 -0.0008	      +inf	 +0.0087	 -0.0018
1779639453.072	   +0.0	  +0.0	 +0.0000	 +0.0000	      +inf	 +0.0005	      +inf	 -0.0063	 +0.0029
1779639453.172	   +0.0	  +0.0	 +0.0000	 +0.0000	      +inf	 +0.0001	      +inf	 -0.0040	 -0.0012
1779639453.272	   +0.0	  +0.0	 +0.0000	 +0.0000	      +inf	 +0.0005	      +inf	 -0.0077	 -0.0087
1779639453.372	   +0.0	  +0.0	 +0.0000	 +0.0000	      +inf	 -0.0004	      +inf	 -0.0094	 -0.0010
1779639453.472	   +0.0	  +0.0	 +0.0000	 +0.0000	      +inf	 -0.0004	      +inf	 +0.0078	 +0.0059
1779639453.572	   +0.0	  +0.0	 +0.0000	 +0.0000	      +inf	 +0.0008	      +inf	 +0.0069	 -0.0023
1779639453.672	   +0.0	  +0.0	 +0.0000	 +0.0000	      +inf	 -0.0006	      +inf	 +0.0080	 +0.0046
1779639453.772	   +0.0	  +0.0	 +0.0000	 +0.0000	      +inf	 +0.0004	      +inf	 -0.0002	 +0.0066
1779639453.872	   +0.0	  +0.0	 +0.0000	 +0.0000	      +inf	 +0.0010	      +inf	 -0.0077	 -0.0087
1779639453.972	   +0.0	  +0.0	 +0.0000	 +0.0000	      +inf	 -0.0003	      +inf	 +0.0027	 +0.0081
1779639454.072	   -5.0	  +0.0	 +0.0000	 +0.0000	      +inf	 -0.0006	      +inf	 +0.0075	 +0.0094
1779639454.172	   -5.0	  +1.0	 +0.0000	 -0.0000	      +inf	 +0.0009	      +inf	 +0.0092	 +0.0054
1779639454.272	   -5.0	  +1.0	 +0.0950	 -0.0033	   -28.489	 -0.0002	      +inf	 +2.0288	 +0.0088
1779639454.372	   -5.0	  +1.0	 +0.2609	 -0.0136	   -19.216	 -0.0023	  -115.781	 +1.1318	 -0.0041
1779639454.472	   -5.0	  +1.0	 +0.3971	 -0.0290	   -13.672	 -0.0043	   -93.017	 +0.4344	 +0.0057
1779639454.572	   -5.0	  +1.0	 +0.4453	 -0.0379	   -11.740	 -0.0019	  -234.535	 +0.2299	 +0.0084
1779639454.672	   -5.0	  +1.0	 +0.4677	 -0.0436	   -10.722	 +0.0053	   +87.845	 +0.1242	 +0.0020
1779639454.772	   -5.0	  +1.0	 +0.4764	 -0.0464	   -10.265	 -0.0018	  -266.315	 +0.0750	 -0.0066
